"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"",0.371798320326474,-1.32750394210395,0.196778184041901,0.526216199274388,0.837983445754858,-0.891869085196912,-0.4671191500652,0.32993322926162,-0.639266338524557,0.154953050417439,-1.0133738988055,0.330410607324492,0.874027876241218,-0.12629290344294,1.20233293376328,0.399375598835368
"util",-0.0349046079221196,2.26109653332319,-0.0903575931566922,-0.650136570118548,-0.80670102586514,1.97885464293559,1.24327060322854,0.299228842154516,2.56261394426675,1.22323909516194,3.57987194304742,1.2075276337894,0.120950797654044,2.53564421447949,-0.363575586425009,0.766537545162815
"util",0.00737704245177631,-1.09155195613995,0.0758241786642211,0.406662464089753,0.455065927245826,-1.17341437379045,-0.714067913370421,-0.22550028565841,-1.70777755384006,-0.874874917562266,-2.47222437940382,-0.903764096408696,-0.186405469457596,-1.71814735796819,0.0781075172803016,-0.581371437877648
"util",-0.000851398697615622,0.169866520986127,-0.0142768704830665,-0.077191182298707,-0.0877829220624882,0.23316223442572,0.137961038975727,0.0488240635740385,0.370176007397326,0.196371529024052,0.552262099149653,0.19769628847274,0.0466991631683239,0.37005058996201,-0.00541145871426889,0.135447760598535
"Z1",0.0761922178682365,0.126089360545268,0.16999997285725,0.130792796637001,-0.02868699527739,0.117245586502095,0.164646413973244,-0.0308338647128302,-0.00884815643310551,-0.175860095960843,-0.155691338070757,-0.206778391773323,-0.264950692677111,-0.206651261255444,-0.0487434207633298,0.00908907192986292
"Z2",-0.128753976603368,-0.0395420610947565,-0.168274958205611,-0.128767839090546,-0.00564512737744279,-0.15792440442979,-0.124587977576295,-0.098716180209333,-0.154813631628842,-0.21151146024634,-0.291118299148905,-0.220875744810704,-0.154517271017637,-0.241338794371637,-0.479989662860589,-0.388216767494402
"Z3",0.0173822179144587,0.0044856404572319,0.0258547748714769,0.0212419121664529,0.00339983564441473,0.0260700294020337,0.0203442916532549,0.0163128906324147,0.0182353667454911,0.0391226207578699,0.0466707224518361,0.034129429683964,0.029675500808102,0.0354697670792239,0.0943910848433836,0.0771423480312358
"Z4",-0.133605462673596,-0.263385972545715,-0.220676982900746,-0.273065455358567,-0.153765924778579,-0.27177988236562,-0.389180706180514,-0.268737415377916,-0.305823425663776,-0.291998676416025,-0.24213262664764,-0.328042741146406,-0.555842884768676,-0.516136100257136,-0.489075399430342,-0.408782404204248
"Z5",-0.0373020768674966,-0.0478045095323644,0.0232523573214728,0.0854151829977956,0.0767804438557328,0.075265307795964,0.0895964045610126,0.126889512325553,0.0928087162875079,0.0782466583332093,0.192057991512081,0.0881545080421142,0.0946773898161872,-0.117952135249486,0.0370165128099809,0.0420334131300262
"Z6",0.0180966059236661,0.0405481515594312,0.0370514904195047,0.0375332862595417,0.0163467417303205,0.036578433167231,0.0649253591910365,0.0354650786451098,0.0425305603832638,0.0401743562670742,0.0261895994303646,0.0561221858436029,0.0989895496312324,0.0822167891398267,0.0980161973916084,0.08271474035924
